Name,Latitude,Longitude,Address,City,State,Postal
Central Library,43.0735893,-89.3875198,201 W Mifflin St ,Madison,WI,53703
Alicia Ashman Library,43.0759926,-89.5178299,733 N High Point Rd,Madison,WI,53717
Goodman South Madison Library,43.041465,-89.394477,2222 S Park St,Madison,WI,53713
Hawthorne Library,43.1022989,-89.3462196,2707 E Washington Ave,Madison,WI,53704
Lakeview Library,43.1277926,-89.3634937,2845 N Sherman Ave,Madison,WI,53704
Meadowridge Library,43.0320009,-89.4777518,5726 Raymond Rd,Madison,WI,53711
Monroe Street Library,43.0658875,-89.4151459,1705 Monroe Street,Madison,WI,53711
Pinney Library,43.0837528,-89.322997,204 Cottage Grove Rd,Madison,WI,53716
Sequoya Library,43.0536652,-89.450058,4340 Tokay Blvd,Madison,WI,53711
